Experiment,CV F1,Accuracy,F1 Score
StandardScaler,0.9843438445612358,0.9824561403508771,0.9861111111111112
No Scaling,0.9600947982205031,0.9649122807017544,0.9726027397260274
MinMaxScaler,0.9777767787119045,0.956140350877193,0.9659863945578231
Feature Selection + StandardScaler,0.9599618525205289,0.9473684210526315,0.9577464788732394
